site_id,date,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_100_to_255cm_mean
ningxia_irrigation,1981-11-07,0.178,0.158,0.137,0.141
ningxia_irrigation,1981-11-08,0.177,0.158,0.137,0.141
ningxia_irrigation,1981-11-09,0.177,0.158,0.137,0.141
ningxia_irrigation,1981-11-10,0.179,0.158,0.137,0.141
ningxia_irrigation,1981-11-11,0.18,0.159,0.137,0.141
ningxia_irrigation,1981-11-12,0.18,0.159,0.137,0.141
ningxia_irrigation,1981-11-13,0.179,0.159,0.137,0.141
ningxia_irrigation,1981-11-14,0.182,0.159,0.137,0.141
ningxia_irrigation,1981-11-15,0.181,0.159,0.137,0.141
ningxia_irrigation,1981-11-16,0.179,0.159,0.137,0.141
ningxia_irrigation,1981-11-17,0.179,0.159,0.137,0.141
ningxia_irrigation,1981-11-18,0.178,0.159,0.137,0.141
ningxia_irrigation,1981-11-19,0.177,0.159,0.137,0.141
ningxia_irrigation,1981-11-20,0.177,0.159,0.137,0.141
ningxia_irrigation,1981-11-21,0.177,0.159,0.137,0.141
ningxia_irrigation,1981-11-22,0.178,0.159,0.137,0.141
ningxia_irrigation,1981-11-23,0.178,0.159,0.137,0.141
ningxia_irrigation,1981-11-24,0.178,0.159,0.137,0.141
ningxia_irrigation,1981-11-25,0.179,0.159,0.137,0.141
ningxia_irrigation,1981-11-26,0.178,0.159,0.137,0.141
ningxia_irrigation,1981-11-27,0.178,0.159,0.137,0.141
ningxia_irrigation,1981-11-28,0.178,0.159,0.137,0.141
ningxia_irrigation,1981-11-29,0.177,0.159,0.137,0.141
ningxia_irrigation,1981-11-30,0.177,0.16,0.137,0.141
ningxia_irrigation,1981-12-01,0.177,0.16,0.137,0.141
ningxia_irrigation,1981-12-02,0.177,0.16,0.137,0.141
ningxia_irrigation,1981-12-03,0.177,0.16,0.137,0.141
ningxia_irrigation,1981-12-04,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-05,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-06,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-07,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-08,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-09,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-10,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-11,0.179,0.16,0.137,0.141
ningxia_irrigation,1981-12-12,0.179,0.16,0.137,0.141
ningxia_irrigation,1981-12-13,0.179,0.16,0.137,0.141
ningxia_irrigation,1981-12-14,0.179,0.16,0.137,0.141
ningxia_irrigation,1981-12-15,0.179,0.16,0.137,0.141
ningxia_irrigation,1981-12-16,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-17,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-18,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-19,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-20,0.178,0.16,0.137,0.141
ningxia_irrigation,1981-12-21,0.179,0.16,0.137,0.141
ningxia_irrigation,1981-12-22,0.179,0.16,0.137,0.141
ningxia_irrigation,1981-12-23,0.18,0.16,0.137,0.141
ningxia_irrigation,1981-12-24,0.18,0.16,0.137,0.141
ningxia_irrigation,1981-12-25,0.18,0.16,0.137,0.141
ningxia_irrigation,1981-12-26,0.181,0.16,0.137,0.141
ningxia_irrigation,1981-12-27,0.182,0.16,0.137,0.141
ningxia_irrigation,1981-12-28,0.183,0.161,0.137,0.141
ningxia_irrigation,1981-12-29,0.182,0.161,0.137,0.141
ningxia_irrigation,1981-12-30,0.182,0.161,0.137,0.141
ningxia_irrigation,1981-12-31,0.183,0.161,0.137,0.141
ningxia_irrigation,1982-01-01,0.183,0.161,0.137,0.141
ningxia_irrigation,1982-01-02,0.183,0.161,0.137,0.141
ningxia_irrigation,1982-01-03,0.184,0.161,0.137,0.141
ningxia_irrigation,1982-01-04,0.184,0.161,0.137,0.141
ningxia_irrigation,1982-01-05,0.184,0.161,0.137,0.141
ningxia_irrigation,1982-01-06,0.185,0.161,0.138,0.141
ningxia_irrigation,1982-01-07,0.185,0.161,0.138,0.141
ningxia_irrigation,1982-01-08,0.186,0.161,0.138,0.141
ningxia_irrigation,1982-01-09,0.186,0.161,0.138,0.141
ningxia_irrigation,1982-01-10,0.186,0.161,0.138,0.141
ningxia_irrigation,1982-01-11,0.187,0.161,0.138,0.141
ningxia_irrigation,1982-01-12,0.186,0.161,0.138,0.141
ningxia_irrigation,1982-01-13,0.186,0.161,0.138,0.141
ningxia_irrigation,1982-01-14,0.186,0.161,0.138,0.141
ningxia_irrigation,1982-01-15,0.186,0.161,0.138,0.141
ningxia_irrigation,1982-01-16,0.185,0.161,0.138,0.141
ningxia_irrigation,1982-01-17,0.185,0.161,0.138,0.141
ningxia_irrigation,1982-01-18,0.185,0.161,0.138,0.141
ningxia_irrigation,1982-01-19,0.185,0.161,0.138,0.141
ningxia_irrigation,1982-01-20,0.185,0.161,0.138,0.141
ningxia_irrigation,1982-01-21,0.185,0.161,0.138,0.141
ningxia_irrigation,1982-01-22,0.184,0.161,0.138,0.141
