policy,site_id,year,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,seed
ppo_residual,beijing_plain,2021,10.213360511938621,115.0,0.1415929203539823,-1.4497620074547155,-1.199789632523768,1.2917403826216018,110.0,8.92162012931702,5.0,,,0
ppo_residual,beijing_plain,2022,10.984230619978472,130.0,0.12173913043478261,-1.3851593484586755,-1.1005513420478295,3.0079233484256034,90.0,7.9763072715528684,40.0,,,0
ppo_residual,hebei_central,2018,9.384503754675013,175.0,0.11304347826086956,-2.1389545513227683,-1.4680713933054712,4.113008046582426,15.0,5.271495708092586,160.0,,,0
ppo_residual,hebei_central,2019,5.68537561378243,450.0,0.2807017543859649,-7.000217270848482,-5.414251664764564,2.6875645048532992,400.0,2.99781110892913,50.0,,,0
ppo_residual,hebei_central,2020,13.163687430145998,160.0,0.08771929824561403,-1.7493729235464945,-1.4318885591054882,4.213997070070472,135.0,8.949690360075527,25.0,,,0
ppo_residual,hebei_central,2021,12.083641315369107,160.0,0.11607142857142858,-1.894459313503781,-1.5258057877621867,3.9904505742751653,145.0,8.093190741093942,15.0,,,0
ppo_residual,hebei_central,2022,11.885655317775923,145.0,0.07017543859649122,-1.5243202321770817,-1.2035684234644415,4.405326542117227,85.0,7.480328775658696,60.0,,,0
ppo_residual,henan_north,2018,14.963852038156181,60.0,0.08849557522123894,-0.28460777235567725,-0.37081203014321507,5.92436609507218,55.0,9.039485943084001,5.0,,,0
ppo_residual,henan_north,2019,7.939696266355752,185.0,0.06140350877192982,-2.4359551001561797,-1.963973469092562,1.0847023686510076,180.0,6.854993897704745,5.0,,,0
ppo_residual,henan_north,2020,14.266345237833612,130.0,0.08035714285714286,-1.3041967611018375,-1.0188108672072993,6.707831110934852,65.0,7.558514126898761,65.0,,,0
ppo_residual,henan_north,2021,13.922131361499723,170.0,0.16964285714285715,-2.0341453836280334,-1.6649990786841697,5.29674680634797,165.0,8.625384555151753,5.0,,,0
ppo_residual,henan_north,2022,15.522270954161073,135.0,0.14035087719298245,-1.416256173015353,-1.1733836112661857,6.419902219791785,130.0,9.102368734369287,5.0,,,0
ppo_residual,shaanxi_guanzhong,2018,11.523956390021972,150.0,0.1981981981981982,-1.6147923332891707,-1.1796536145647472,4.65134093175602,25.0,6.872615458265952,125.0,,,0
ppo_residual,shaanxi_guanzhong,2019,8.3632548310848,110.0,0.08035714285714286,-1.4480280717133862,-1.1408744778844668,0.9851696026032293,45.0,7.378085228481571,65.0,,,0
ppo_residual,shaanxi_guanzhong,2020,13.588485340731182,30.0,0.1,0.022562502729818967,-0.15079294201606613,4.824261845483079,25.0,8.764223495248103,5.0,,,0
ppo_residual,shaanxi_guanzhong,2021,14.337557886325337,30.0,0.10810810810810811,0.057430011200865105,-0.12874885084941434,5.292410779929472,25.0,9.045147106395865,5.0,,,0
ppo_residual,shaanxi_guanzhong,2022,10.678349928381138,25.0,0.13392857142857142,-0.028953025560816692,-0.16391480830098965,4.929874905084453,25.0,5.748475023296685,0.0,,,0
ppo_residual,ningxia_irrigation,2018,11.600222663050518,315.0,0.20454545454545456,-4.03152479769259,-3.8305184812737108,,,,,11.600222663050518,315.0,0
ppo_residual,ningxia_irrigation,2019,8.653672890652837,320.0,0.18181818181818182,-4.0695859915524295,-3.664867373237393,,,,,8.653672890652837,320.0,0
