policy,site_id,year,preference,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,timesteps
ppo_rotation_direct_wq_seed1,ningxia_irrigation,2015,balanced,2.6931913995313232,170.0,0.11363636363636363,-2.2169901719417195,-2.0525601037963868,,,,,2.6931913995313232,170.0,200000
ppo_rotation_direct_wq_seed1,shaanxi_guanzhong,2015,balanced,16.235545630788984,295.0,0.42727272727272725,-3.402663626833867,-2.546912448359785,4.900043361912264,85.0,11.335502268876722,210.0,,,200000
ppo_rotation_direct_wq_seed2,hebei_central,2015,balanced,11.981194935780984,450.0,0.36363636363636365,-5.85881308079466,-4.244613334906111,0.6991289526842578,250.0,11.282065983096725,200.0,,,200000
ppo_rotation_direct_wq_seed2,ningxia_irrigation,2015,balanced,13.153507288836137,450.0,0.9090909090909091,-5.496736594943231,-5.184196710651137,,,,,13.153507288836137,450.0,200000
ppo_rotation_direct_wq_seed2,shaanxi_guanzhong,2015,balanced,16.27456334712346,380.0,0.4818181818181818,-4.527695377763294,-3.3069288387990965,4.900043361912264,170.0,11.374519985211197,210.0,,,200000
ppo_rotation_residual_gamma1,hebei_central,2015,balanced,10.258333268635042,275.0,0.16363636363636364,-3.6237026601393962,-2.7077528531314057,0.6758295955457355,100.0,9.582503673089306,175.0,,,200000
ppo_rotation_residual_gamma1,ningxia_irrigation,2015,balanced,0.0,25.0,0.022727272727272728,-0.40053758357406943,-0.3679476265872936,,,,,0.0,25.0,200000
ppo_rotation_residual_gamma1,shaanxi_guanzhong,2015,balanced,15.054458069991467,45.0,0.06363636363636363,-0.1898732353986613,-0.24488719808636505,4.900043361912264,20.0,10.154414708079203,25.0,,,200000
ppo_rotation_residual_gamma1_seed1,hebei_central,2015,balanced,11.090798501600087,150.0,0.1,-1.8274215137777094,-1.535145782142474,0.6853079814252456,130.0,10.405490520174842,20.0,,,200000
ppo_rotation_residual_gamma1_seed1,ningxia_irrigation,2015,balanced,0.0,0.0,0.0,-0.04059596122166813,-0.045338595799476855,,,,,0.0,0.0,200000
ppo_rotation_residual_gamma1_seed1,shaanxi_guanzhong,2015,balanced,14.915805175524659,60.0,0.4727272727272727,-0.3954824885467644,-0.4620730171612411,4.900043361912264,60.0,10.015761813612395,0.0,,,200000
