site_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean,wind_speed_10m_mean
beijing_plain,1998-10-28,17.1,3.4,0.0,1.97,13.1,8.6,69,4.6
beijing_plain,1998-10-29,17.1,4.5,0.0,1.61,10.16,7.3,80,4.3
beijing_plain,1998-10-30,18.2,5.3,0.0,1.93,11.73,14.3,79,6.2
beijing_plain,1998-10-31,11.7,5.1,0.0,3.15,12.63,21.5,28,13.2
beijing_plain,1998-11-01,14.6,1.8,0.0,2.32,12.18,15.0,48,8.4
beijing_plain,1998-11-02,18.2,2.9,0.0,2.95,12.45,19.5,47,11.7
beijing_plain,1998-11-03,16.9,5.7,0.0,2.42,12.15,22.3,52,7.6
beijing_plain,1998-11-04,13.9,5.0,0.0,2.55,12.34,17.5,44,9.4
beijing_plain,1998-11-05,14.0,2.8,0.0,1.63,10.76,10.9,71,7.0
beijing_plain,1998-11-06,15.3,3.2,0.0,2.11,11.98,18.1,56,8.2
beijing_plain,1998-11-07,15.8,2.1,0.0,1.93,11.64,11.3,58,5.7
beijing_plain,1998-11-08,18.0,1.6,0.0,2.5,10.44,17.1,55,9.2
beijing_plain,1998-11-09,14.9,2.8,0.0,2.25,11.51,12.7,45,8.5
beijing_plain,1998-11-10,14.9,3.5,0.0,1.7,10.96,10.1,63,5.8
beijing_plain,1998-11-11,15.1,3.1,0.0,1.78,11.0,10.8,66,8.6
beijing_plain,1998-11-12,15.9,2.1,0.0,1.58,10.88,9.4,72,4.6
beijing_plain,1998-11-13,17.7,1.4,0.0,1.66,10.79,10.8,73,5.4
beijing_plain,1998-11-14,15.4,3.8,0.0,1.38,10.09,11.0,83,7.9
beijing_plain,1998-11-15,14.5,3.8,0.0,2.14,6.76,16.9,55,12.0
beijing_plain,1998-11-16,8.7,1.3,0.0,2.09,7.28,23.0,31,10.4
beijing_plain,1998-11-17,3.8,-4.7,0.0,2.19,10.72,26.5,21,14.6
beijing_plain,1998-11-18,0.8,-7.9,0.0,1.53,10.6,17.7,26,10.5
beijing_plain,1998-11-19,3.8,-6.7,0.0,1.39,10.44,8.2,36,6.5
beijing_plain,1998-11-20,5.9,-5.9,0.0,1.2,10.24,8.7,53,5.0
beijing_plain,1998-11-21,-0.7,-3.8,8.7,0.42,1.77,17.1,76,10.8
beijing_plain,1998-11-22,-0.2,-5.5,0.0,0.4,3.64,13.3,80,6.3
beijing_plain,1998-11-23,-2.4,-4.7,0.4,0.4,2.64,10.9,76,7.6
beijing_plain,1998-11-24,-0.1,-10.7,0.0,0.91,10.02,13.8,63,8.5
beijing_plain,1998-11-25,1.5,-6.1,0.0,0.79,9.04,7.6,71,5.4
beijing_plain,1998-11-26,3.7,-5.4,0.0,0.75,7.57,7.6,71,3.5
beijing_plain,1998-11-27,9.4,-3.5,0.0,1.31,9.52,15.0,63,6.9
beijing_plain,1998-11-28,6.3,-4.8,0.0,0.96,9.23,7.8,72,5.7
beijing_plain,1998-11-29,8.2,-3.7,0.0,1.19,9.0,14.0,72,9.0
beijing_plain,1998-11-30,1.6,-2.0,0.5,0.66,1.58,11.6,63,9.2
beijing_plain,1998-12-01,-1.7,-7.1,0.0,1.24,8.03,15.5,33,9.7
beijing_plain,1998-12-02,-1.9,-8.5,0.0,1.03,9.5,8.9,31,5.2
beijing_plain,1998-12-03,1.3,-7.2,0.0,1.15,9.23,14.1,44,8.5
beijing_plain,1998-12-04,2.7,-5.6,0.0,1.13,7.92,19.6,46,6.9
beijing_plain,1998-12-05,-0.8,-7.0,0.0,1.17,9.13,16.0,39,8.6
beijing_plain,1998-12-06,-0.9,-6.0,1.4,0.37,3.37,7.0,73,3.8
beijing_plain,1998-12-07,1.0,-6.4,0.0,1.16,9.21,11.6,44,9.2
beijing_plain,1998-12-08,2.4,-7.6,0.0,1.18,9.1,15.0,42,7.7
beijing_plain,1998-12-09,1.8,-7.6,0.0,0.99,8.93,8.8,48,5.8
beijing_plain,1998-12-10,5.9,-6.9,0.0,1.2,8.99,12.0,50,6.6
beijing_plain,1998-12-11,3.6,-6.3,0.0,1.29,8.95,15.2,44,9.2
beijing_plain,1998-12-12,4.2,-5.8,0.0,0.89,8.76,10.1,62,4.7
beijing_plain,1998-12-13,7.3,-5.6,0.0,0.99,8.74,12.2,65,5.4
beijing_plain,1998-12-14,7.4,-3.9,0.0,1.63,8.84,16.2,43,10.7
beijing_plain,1998-12-15,9.8,-3.6,0.0,1.19,8.65,10.5,54,6.1
beijing_plain,1998-12-16,9.8,-4.4,0.0,1.08,8.76,9.2,58,4.8
beijing_plain,1998-12-17,7.8,-4.8,0.0,0.95,8.52,7.6,72,5.5
beijing_plain,1998-12-18,10.4,-4.0,0.0,1.49,8.04,17.7,59,8.9
beijing_plain,1998-12-19,6.8,-3.2,0.0,1.06,8.68,10.0,50,4.6
beijing_plain,1998-12-20,7.5,-4.4,0.0,0.91,8.23,7.9,74,6.5
